DATE,DAAA
2003/12/30,5.64
2003/12/31,5.63
2004/1/1,.
2004/1/2,5.73
2004/1/5,5.7
2004/1/6,5.63
2004/1/7,5.61
2004/1/8,5.63
2004/1/9,5.52
2004/1/12,5.52
2004/1/13,5.49
2004/1/14,5.43
2004/1/15,5.41
2004/1/16,5.43
2004/1/19,.
2004/1/20,5.48
2004/1/21,5.47
2004/1/22,5.41
2004/1/23,5.49
2004/1/26,5.56
2004/1/27,5.51
2004/1/28,5.59
2004/1/29,5.58
2004/1/30,5.53
2004/2/2,5.55
2004/2/3,5.52
2004/2/4,5.53
2004/2/5,5.55
2004/2/6,5.51
2004/2/9,5.49
2004/2/10,5.52
2004/2/11,5.48
2004/2/12,5.53
2004/2/13,5.5
2004/2/16,.
2004/2/17,5.5
2004/2/18,5.49
2004/2/19,5.47
2004/2/20,5.53
2004/2/23,5.49
2004/2/24,5.47
2004/2/25,5.46
2004/2/26,5.49
2004/2/27,5.43
2004/3/1,5.43
2004/3/2,5.47
2004/3/3,5.48
2004/3/4,5.45
2004/3/5,5.32
2004/3/8,5.29
2004/3/9,5.24
2004/3/10,5.26
2004/3/11,5.27
2004/3/12,5.29
2004/3/15,5.28
2004/3/16,5.27
2004/3/17,5.27
2004/3/18,5.28
2004/3/19,5.31
2004/3/22,5.24
2004/3/23,5.26
2004/3/24,5.26
2004/3/25,5.28
2004/3/26,5.36
2004/3/29,5.4
2004/3/30,5.41
2004/3/31,5.37
2004/4/1,5.4
2004/4/2,5.55
2004/4/5,5.62
2004/4/6,5.6
2004/4/7,5.59
2004/4/8,5.62
2004/4/9,.
2004/4/12,5.64
2004/4/13,5.73
2004/4/14,5.76
2004/4/15,5.8
2004/4/16,5.77
2004/4/19,5.79
2004/4/20,5.82
2004/4/21,5.82
2004/4/22,5.78
2004/4/23,5.84
2004/4/26,5.81
2004/4/27,5.8
2004/4/28,5.85
2004/4/29,5.89
2004/4/30,5.87
2004/5/3,5.87
2004/5/4,5.92
2004/5/5,5.91
2004/5/6,5.98
2004/5/7,6.06
2004/5/10,6.12
2004/5/11,6.08
2004/5/12,6.13
2004/5/13,6.18
2004/5/14,6.12
2004/5/17,6.06
2004/5/18,6.08
2004/5/19,6.12
2004/5/20,6.05
2004/5/21,6.08
2004/5/24,6.06
2004/5/25,6.03
2004/5/26,6
2004/5/27,5.93
2004/5/28,5.97
2004/5/31,.
2004/6/1,6.02
2004/6/2,6.04
2004/6/3,6.03
2004/6/4,6.07
2004/6/7,6.07
2004/6/8,6.06
2004/6/9,6.1
2004/6/10,6.08
2004/6/11,.
2004/6/14,6.14
2004/6/15,5.97
2004/6/16,6.02
2004/6/17,5.96
2004/6/18,5.98
2004/6/21,5.98
2004/6/22,5.99
2004/6/23,5.98
2004/6/24,5.95
2004/6/25,5.95
2004/6/28,6.03
2004/6/29,5.98
2004/6/30,5.91
2004/7/1,5.89
2004/7/2,5.81
2004/7/5,.
2004/7/6,5.83
2004/7/7,5.83
2004/7/8,5.83
2004/7/9,5.83
2004/7/12,5.81
2004/7/13,5.84
2004/7/14,5.83
2004/7/15,5.83
2004/7/16,5.73
2004/7/19,5.73
2004/7/20,5.78
2004/7/21,5.81
2004/7/22,5.8
2004/7/23,5.77
2004/7/26,5.8
2004/7/27,5.91
2004/7/28,5.91
2004/7/29,5.9
2004/7/30,5.81
2004/8/2,5.79
2004/8/3,5.77
2004/8/4,5.77
2004/8/5,5.75
2004/8/6,5.64
2004/8/9,5.65
2004/8/10,5.67
2004/8/11,5.67
2004/8/12,5.66
2004/8/13,5.61
2004/8/16,5.64
2004/8/17,5.6
2004/8/18,5.62
2004/8/19,5.6
2004/8/20,5.61
2004/8/23,5.65
2004/8/24,5.65
2004/8/25,5.63
2004/8/26,5.6
2004/8/27,5.6
2004/8/30,5.57
2004/8/31,5.51
2004/9/1,5.51
2004/9/2,5.55
2004/9/3,5.63
2004/9/6,.
2004/9/7,5.57
2004/9/8,5.51
2004/9/9,5.55
2004/9/10,5.53
2004/9/13,5.5
2004/9/14,5.49
2004/9/15,5.51
2004/9/16,5.43
2004/9/17,5.47
2004/9/20,5.42
2004/9/21,5.39
2004/9/22,5.33
2004/9/23,5.35
2004/9/24,5.35
2004/9/27,5.32
2004/9/28,5.35
2004/9/29,5.41
2004/9/30,5.47
2004/10/1,5.53
2004/10/4,5.52
2004/10/5,5.52
2004/10/6,5.57
2004/10/7,5.6
2004/10/8,5.5
2004/10/11,.
2004/10/12,5.48
2004/10/13,5.47
2004/10/14,5.43
2004/10/15,5.47
2004/10/18,5.47
2004/10/19,5.44
2004/10/20,5.43
2004/10/21,5.42
2004/10/22,5.39
2004/10/25,5.39
2004/10/26,5.39
2004/10/27,5.47
2004/10/28,5.46
2004/10/29,5.41
2004/11/1,5.5
2004/11/2,5.5
2004/11/3,5.48
2004/11/4,5.46
2004/11/5,5.56
2004/11/8,5.59
2004/11/9,5.62
2004/11/10,5.62
2004/11/11,.
2004/11/12,5.53
2004/11/15,5.52
2004/11/16,5.52
2004/11/17,5.46
2004/11/18,5.43
2004/11/19,5.48
2004/11/22,5.44
2004/11/23,5.45
2004/11/24,5.45
2004/11/25,.
2004/11/26,5.5
2004/11/29,5.58
2004/11/30,5.62
2004/12/1,5.63
2004/12/2,5.65
2004/12/3,5.54
2004/12/6,5.51
2004/12/7,5.5
2004/12/8,5.37
2004/12/9,5.42
2004/12/10,5.41
2004/12/13,5.42
2004/12/14,5.39
