DATE,DDEF
20031230 ,0.98
20031231 ,0.98
20040101 ,
20040102 ,0.97
20040105 ,0.98
20040106 ,0.98
20040107 ,0.96
20040108 ,0.9
20040109 ,0.9
20040112 ,0.91
20040113 ,0.91
20040114 ,0.91
20040115 ,0.91
20040116 ,0.91
20040119 ,
20040120 ,0.91
20040121 ,0.91
20040122 ,0.91
20040123 ,0.9
20040126 ,0.88
20040127 ,0.86
20040128 ,0.86
20040129 ,0.83
20040130 ,0.82
20040202 ,0.8
20040203 ,0.79
20040204 ,0.78
20040205 ,0.78
20040206 ,0.77
20040209 ,0.76
20040210 ,0.76
20040211 ,0.76
20040212 ,0.75
20040213 ,0.75
20040216 ,
20040217 ,0.74
20040218 ,0.75
20040219 ,0.77
20040220 ,0.75
20040223 ,0.76
20040224 ,0.76
20040225 ,0.77
20040226 ,0.76
20040227 ,0.77
20040301 ,0.77
20040302 ,0.77
20040303 ,0.77
20040304 ,0.77
20040305 ,0.78
20040308 ,0.79
20040309 ,0.79
20040310 ,0.79
20040311 ,0.79
20040312 ,0.8
20040315 ,0.81
20040316 ,0.77
20040317 ,0.77
20040318 ,0.8
20040319 ,0.79
20040322 ,0.82
20040323 ,0.8
20040324 ,0.8
20040325 ,0.81
20040326 ,0.8
20040329 ,0.79
20040330 ,0.78
20040331 ,0.78
20040401 ,0.78
20040402 ,0.77
20040405 ,0.75
20040406 ,0.75
20040407 ,0.75
20040408 ,0.74
20040409 ,
20040412 ,0.74
20040413 ,0.73
20040414 ,0.72
20040415 ,0.71
20040416 ,0.71
20040419 ,0.72
20040420 ,0.71
20040421 ,0.72
20040422 ,0.72
20040423 ,0.71
20040426 ,0.71
20040427 ,0.71
20040428 ,0.71
20040429 ,0.72
20040430 ,0.71
20040503 ,0.71
20040504 ,0.71
20040505 ,0.75
20040506 ,0.71
20040507 ,0.7
20040510 ,0.67
20040511 ,0.7
20040512 ,0.7
20040513 ,0.69
20040514 ,0.7
20040517 ,0.72
20040518 ,0.71
20040519 ,0.7
20040520 ,0.72
20040521 ,0.71
20040524 ,0.71
20040525 ,0.72
20040526 ,0.72
20040527 ,0.72
20040528 ,0.72
20040531 ,
20040601 ,0.74
20040602 ,0.76
20040603 ,0.76
20040604 ,0.77
20040607 ,0.76
