DATE,DEF
2003/12/1,0.98
2004/1/1,0.9
2004/2/1,0.77
2004/3/1,0.78
2004/4/1,0.73
2004/5/1,0.71
2004/6/1,0.77
2004/7/1,0.8
2004/8/1,0.81
2004/9/1,0.81
2004/10/1,0.74
2004/11/1,0.68
2004/12/1,0.68
2005/1/1,0.66
2005/2/1,0.62
2005/3/1,0.66
2005/4/1,0.72
2005/5/1,0.86
2005/6/1,0.9
2005/7/1,0.89
2005/8/1,0.87
2005/9/1,0.9
2005/10/1,0.95
2005/11/1,0.97
2005/12/1,0.95
2006/1/1,0.95
2006/2/1,0.92
2006/3/1,0.88
2006/4/1,0.84
2006/5/1,0.8
2006/6/1,0.89
2006/7/1,0.91
2006/8/1,0.91
2006/9/1,0.92
2006/10/1,0.91
2006/11/1,0.87
2006/12/1,0.9
2007/1/1,0.94
2007/2/1,0.89
2007/3/1,0.97
2007/4/1,0.92
2007/5/1,0.92
2007/6/1,0.91
2007/7/1,0.92
2007/8/1,0.86
2007/9/1,0.85
2007/10/1,0.82
2007/11/1,0.96
2007/12/1,1.16
2008/1/1,1.21
2008/2/1,1.29
2008/3/1,1.38
2008/4/1,1.42
2008/5/1,1.36
2008/6/1,1.39
2008/7/1,1.49
2008/8/1,1.51
2008/9/1,1.66
2008/10/1,2.6
2008/11/1,3.09
2008/12/1,3.38
2009/1/1,3.09
2009/2/1,2.81
2009/3/1,2.92
2009/4/1,3
2009/5/1,2.52
2009/6/1,1.89
2009/7/1,1.68
2009/8/1,1.32
2009/9/1,1.18
2009/10/1,1.14
2009/11/1,1.13
2009/12/1,1.11
2010/1/1,0.99
2010/2/1,0.99
2010/3/1,1
2010/4/1,0.96
2010/5/1,1.09
2010/6/1,1.35
2010/7/1,1.29
2010/8/1,1.17
2010/9/1,1.13
2010/10/1,1.04
2010/11/1,1.05
2010/12/1,1.08
2011/1/1,1.05
2011/2/1,0.93
2011/3/1,0.9
2011/4/1,0.86
2011/5/1,0.82
2011/6/1,0.76
2011/7/1,0.83
2011/8/1,0.99
2011/9/1,1.18
2011/10/1,1.39
2011/11/1,1.27
2011/12/1,1.32
2012/1/1,1.38
2012/2/1,1.29
2012/3/1,1.24
2012/4/1,1.23
2012/5/1,1.27
2012/6/1,1.38
2012/7/1,1.47
2012/8/1,1.43
2012/9/1,1.35
2012/10/1,1.11
2012/11/1,1.01
2012/12/1,0.98
2013/1/1,0.93
2013/2/1,0.95
2013/3/1,0.92
2013/4/1,0.86
2013/5/1,0.84
2013/6/1,0.92
2013/7/1,0.98
2013/8/1,0.88
2013/9/1,0.83
2013/10/1,0.78
2013/11/1,0.75
2013/12/1,0.76
2014/1/1,0.7
2014/2/1,0.65
2014/3/1,0.68
2014/4/1,0.66
2014/5/1,0.6
2014/6/1,0.55
2014/7/1,0.57
2014/8/1,0.61
2014/9/1,0.69
2014/10/1,0.77
2014/11/1,0.87
2014/12/1,0.95
2015/1/1,0.99
2015/2/1,0.9
2015/3/1,0.9
2015/4/1,0.96
2015/5/1,0.91
2015/6/1,0.94
2015/7/1,1.05
2015/8/1,1.15
2015/9/1,1.27
2015/10/1,1.39
2015/11/1,1.4
2015/12/1,1.49
2016/1/1,1.45
2016/2/1,1.38
2016/3/1,1.31
2016/4/1,1.17
2016/5/1,1.03
2016/6/1,1.03
2016/7/1,0.94
2016/8/1,0.92
2016/9/1,0.9
2016/10/1,0.87
2016/11/1,0.85
2016/12/1,0.77
2017/1/1,0.74
2017/2/1,0.69
2017/3/1,0.67
2017/4/1,0.7
2017/5/1,0.7
2017/6/1,0.69
2017/7/1,0.69
2017/8/1,0.68
2017/9/1,0.67
2017/10/1,0.72
2017/11/1,0.7
2017/12/1,0.71
