Series Description,"Market yield on U.S. Treasury securities at 1-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis"
Unit:,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year
Multiplier:,1,1,1,1
Currency:,NA,NA,NA,NA
Unique Identifier: ,H15/H15/RIFLGFCM01_N.B,H15/H15/RIFLGFCM03_N.B,H15/H15/RIFLGFCY01_N.B,H15/H15/RIFLGFCY10_N.B
Time Period,RIFLGFCM01_N.B,RIFLGFCM03_N.B,RIFLGFCY01_N.B,RIFLGFCY10_N.B
2004/1/1,ND,ND,ND,ND
2004/1/2,0.88,0.93,1.31,4.38
2004/1/5,0.88,0.91,1.35,4.41
2004/1/6,0.88,0.91,1.3,4.29
2004/1/7,0.88,0.91,1.29,4.27
2004/1/8,0.87,0.88,1.29,4.27
2004/1/9,0.87,0.87,1.21,4.11
2004/1/12,0.88,0.89,1.21,4.11
2004/1/13,0.86,0.89,1.18,4.05
2004/1/14,0.85,0.88,1.19,4.01
2004/1/15,0.82,0.88,1.18,3.99
2004/1/16,0.8,0.89,1.21,4.04
2004/1/19,ND,ND,ND,ND
2004/1/20,0.8,0.89,1.21,4.08
2004/1/21,0.82,0.89,1.19,4.05
2004/1/22,0.74,0.88,1.19,3.99
2004/1/23,0.79,0.9,1.21,4.09
2004/1/26,0.82,0.9,1.23,4.16
2004/1/27,0.89,0.91,1.21,4.11
2004/1/28,0.89,0.94,1.26,4.22
2004/1/29,0.87,0.94,1.29,4.22
2004/1/30,0.85,0.92,1.28,4.16
2004/2/2,0.87,0.94,1.29,4.18
2004/2/3,0.93,0.94,1.27,4.13
2004/2/4,0.91,0.94,1.27,4.15
2004/2/5,0.89,0.94,1.29,4.2
2004/2/6,0.89,0.93,1.26,4.12
2004/2/9,0.89,0.94,1.25,4.09
2004/2/10,0.91,0.95,1.27,4.13
2004/2/11,0.89,0.93,1.23,4.05
2004/2/12,0.9,0.93,1.24,4.1
2004/2/13,0.9,0.92,1.21,4.05
2004/2/16,ND,ND,ND,ND
2004/2/17,0.9,0.95,1.21,4.05
2004/2/18,0.93,0.94,1.23,4.05
2004/2/19,0.93,0.94,1.23,4.05
2004/2/20,0.93,0.94,1.26,4.1
2004/2/23,0.95,0.97,1.22,4.05
2004/2/24,0.97,0.97,1.23,4.04
2004/2/25,0.96,0.96,1.23,4.02
2004/2/26,0.97,0.96,1.23,4.05
2004/2/27,0.95,0.96,1.21,3.99
2004/3/1,0.97,0.97,1.23,4
2004/3/2,0.98,0.97,1.26,4.05
2004/3/3,0.97,0.97,1.26,4.07
2004/3/4,0.97,0.96,1.25,4.04
2004/3/5,0.95,0.94,1.16,3.85
2004/3/8,0.95,0.96,1.15,3.78
2004/3/9,0.98,0.96,1.15,3.73
2004/3/10,0.97,0.96,1.17,3.74
2004/3/11,0.96,0.97,1.15,3.74
2004/3/12,0.96,0.96,1.18,3.78
2004/3/15,0.94,0.96,1.18,3.78
2004/3/16,0.97,0.96,1.17,3.7
2004/3/17,0.94,0.93,1.18,3.71
2004/3/18,0.93,0.93,1.17,3.76
