,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20070103,1418.03,1423.76,1429.18,1427.56,1427.64,1427.95,1425.71,1427.09,1423.35,1422.36,1416.61,1408.23,1413.11,1416.59
20070104,1413.63,1409.37,1415.57,1415.88,1416.69,1415.61,1415.7,1413.56,1414.24,1414.2,1418.34,1419.27,1418.41,
20070105,1418.34,1410.11,1412.79,1412.74,1407.81,1407.84,1409.29,1409.68,1410.25,1410.09,1408.52,1409.09,1409.74,1409.88
20070108,1407.31,1406.28,1407.82,1408.36,1409.24,1408.3,1408.64,1407.91,1412.04,1413.6,1411.53,1414.18,1412.8,
20070109,1412.85,1413.11,1414.75,1413.89,1410.22,1406.72,1405.67,1407.4,1408.57,1409.98,1411.01,1412.39,1412.73,1412.12
20070110,1410.85,1407.43,1409.42,1410.19,1408.09,1409.75,1409.09,1410.06,1410.76,1413.43,1413.17,1414.13,1414.64,1414.61
20070111,1414.84,1421.84,1422.08,1423.72,1425.66,1425.95,1426.37,1426.33,1424.0,1424.44,1422.95,1425.14,1422.8,1423.96
20070112,1423.66,1426.98,1425.3,1424.47,1426.0,1428.1,1429.01,1431.12,1429.66,1430.64,1429.35,1429.24,1430.55,1430.27
20070116,1430.73,1433.67,1431.09,1429.3,1429.7,1431.8,1431.42,1429.47,1429.41,1428.91,1430.47,1431.37,1430.92,1431.83
20070117,1431.88,1430.67,1430.18,1431.84,1432.4,1434.83,1434.63,1433.71,1433.52,1431.48,1431.26,1429.57,1430.58,
20070118,1430.59,1432.9,1427.99,1427.1,1427.41,1429.4,1428.24,1429.23,1428.67,1428.03,1427.62,1424.56,1425.89,1425.67
20070119,1426.35,1426.18,1427.39,1431.48,1430.53,1429.47,1427.77,1427.97,1429.49,1428.82,1429.5,1430.16,1430.0,1430.49
20070122,1428.86,1424.48,1423.1,1422.77,1423.22,1421.6,1420.96,1422.25,1422.8,1423.9,1423.86,1422.18,1423.04,
20070123,1423.35,1424.31,1427.89,1428.18,1427.63,1429.9,1431.31,1430.51,1428.77,1426.89,1427.94,1427.87,,
20070124,1427.96,1430.58,1431.13,1433.42,1434.96,1434.19,1434.29,1434.32,1434.45,1436.23,1436.63,1438.35,1438.58,1439.84
20070125,1440.31,1438.56,1436.48,1436.05,1436.08,1434.06,1431.8,1432.15,1431.73,1428.68,1424.38,1425.82,1424.15,1424.46
20070126,1423.9,1422.28,1420.96,1421.26,1419.89,1418.82,1421.44,1419.57,1418.04,1419.06,1420.99,1420.37,1424.22,1422.66
20070129,1422.03,1424.73,1423.8,1423.47,1423.8,1422.88,1424.51,1425.91,1425.24,1421.65,1419.65,1419.95,1421.65,1421.08
20070130,1420.61,1421.88,1424.35,1423.72,1427.57,1427.03,1425.42,1426.15,1426.25,1426.76,1426.75,1427.02,1427.78,1428.36
20070131,1428.65,1425.05,1427.79,1429.61,1429.03,1429.72,1428.51,1428.87,1429.33,1429.47,1433.11,1438.87,1440.92,1438.2
20070201,1443.93,1443.93,1441.44,1442.38,1439.77,1441.97,1441.98,1442.05,1442.5,1443.13,1442.99,1444.45,1445.56,1445.89
20070202,1445.94,1444.62,1448.07,1448.63,1446.9,1447.07,1447.98,1448.21,1448.15,1448.71,1447.17,1448.01,1448.1,1448.65
20070205,1448.28,1445.0,1445.23,1447.18,1446.35,1447.05,1446.82,1446.91,1447.22,1447.16,1448.02,1449.21,1447.52,1447.22
20070206,1446.98,1449.07,1449.08,1446.07,1445.89,1444.73,1444.7,1444.5,1445.62,1446.73,1446.75,1448.21,1448.35,1447.8
20070207,1447.41,1448.56,1450.99,1452.43,1451.99,1452.05,1452.37,1452.09,1452.1,1451.1,1450.18,1447.17,1448.57,1449.63
20070208,1449.99,1445.19,1445.11,1443.89,1444.93,1444.58,1445.11,1446.18,1446.51,1446.89,1447.08,1449.83,1448.75,1448.19
20070209,1448.25,1451.41,1449.13,1447.83,1449.11,1450.27,1448.98,1444.11,1443.56,1439.89,1437.3,1434.08,1438.18,1438.28
20070212,1438.0,1436.36,1435.5,1435.61,1434.6,1435.91,1435.07,1436.14,1435.4,1433.01,1433.21,1433.06,1434.02,1433.65
20070213,1433.22,1438.77,1440.05,1438.52,1439.37,1441.33,1442.9,1442.61,1442.93,1442.21,1442.83,1442.24,1442.75,1444.09
20070214,1443.91,1447.02,1453.61,1453.22,1454.93,1454.18,1453.27,1453.88,1454.12,1456.01,1456.06,1456.33,1456.16,1455.02
20070215,1455.15,1453.92,1455.01,1453.93,1455.06,1456.38,1455.63,1455.52,1455.58,1456.43,1456.77,1457.25,1457.08,1456.8
20070216,1456.62,1453.31,1453.34,1454.1,1453.64,1453.52,1453.61,1453.29,1452.68,1453.39,1454.15,1453.97,1454.98,1455.8
20070220,1450.93,1451.22,1452.88,1456.3,1458.33,1458.69,1457.83,1457.03,1457.92,1458.05,1459.23,1460.18,1459.4,
20070221,1454.51,1455.34,1454.8,1455.04,1455.95,1457.77,1458.7,1458.53,1456.48,1456.88,1457.77,1457.07,1457.59,
20070222,1461.46,1457.15,1458.69,1453.16,1453.0,1453.87,1454.55,1455.28,1454.93,1455.29,1453.35,1454.4,1455.94,
20070223,1453.79,1450.85,1448.94,1449.99,1452.24,1450.08,1449.37,1450.68,1450.26,1452.05,1452.46,1452.54,1451.27,
20070226,1455.07,1453.94,1452.7,1453.68,1452.48,1450.06,1446.05,1446.66,1447.29,1448.96,1448.83,1448.49,1449.65,
20070227,1433.32,1433.4,1434.0,1431.07,1431.14,1426.69,1427.36,1425.16,1421.59,1412.76,1397.65,1407.42,1401.07,
20070228,1403.93,1406.11,1410.77,1412.56,1407.19,1409.09,1411.77,1410.98,1407.66,1404.88,1406.31,1410.81,1406.39,
20070301,1388.82,1388.82,1398.0,1405.17,1405.59,1402.55,1402.21,1405.28,1403.5,1404.7,1406.06,1408.35,1401.22,1402.96
20070302,1397.84,1397.25,1401.66,1401.58,1397.92,1395.66,1395.0,1390.98,1388.76,1388.26,1391.66,1392.42,1387.39,
20070305,1382.62,1386.69,1386.38,1389.47,1383.82,1382.38,1381.73,1380.39,1384.8,1383.99,1384.19,1381.47,1374.22,
20070306,1387.08,1386.62,1382.93,1386.13,1387.3,1386.42,1389.0,1389.3,1391.98,1393.17,1394.65,1396.18,1395.11,
20070307,1393.48,1394.89,1395.2,1393.31,1393.35,1393.49,1395.94,1398.52,1400.02,1397.98,1398.88,1397.7,1391.47,
20070308,1403.72,1406.94,1405.41,1404.52,1405.72,1406.13,1405.22,1406.82,1407.48,1403.81,1402.75,1402.26,1400.77,
