,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20070201,,,-0.04903216105726996,-0.05066771105963748,-0.036629048155940466,-0.03950479686564132,-0.04749028404050269,-0.05036357610825053,-0.05179698512328455,-0.05136711475057968,,-0.05755533252565977,-0.05642922554649024,-0.06022701619663898
20070202,-0.017234656176555816,-0.025079909027703552,-0.04259296952216011,-0.04473561233818253,-0.039029023658197534,-0.04522745880574997,-0.04730087435858715,-0.0432120717508274,-0.05096779016294458,-0.036113609272115654,-0.04619877472006088,-0.04242881634071808,-0.0462668642903275,-0.054834194946865956
20070205,-0.06413744110463063,-0.02318198233631317,-0.03571282724332015,-0.037115349719804125,-0.021272201668665974,-0.04935119344411352,-0.04914618575236019,-0.042414928626037185,-0.04544788155770627,-0.04198677577604693,-0.023492354994252947,-0.047260691251003996,-0.04420378282715406,-0.049256225273921726
20070206,0.008012109484098792,-0.04220754167653521,-0.02249153447869616,-0.03744199987669964,-0.04008283464639977,-0.03488410534384852,-0.04477394982362706,-0.04352286562129271,-0.04644676572162189,-0.04319534532797476,-0.046794700583618794,-0.043986885018407834,-0.04790634473693934,-0.04728674632446379
20070207,0.023612137129447854,-0.04489293666546529,-0.03635759169323895,-0.04416061113816451,-0.04810927445811641,-0.04849753865265633,-0.047989355043032866,-0.05055357243495673,-0.04493600535372603,-0.04176777444613714,-0.049287120378862875,-0.04700805179320246,-0.05168195041213876,-0.052198342395957234
20070208,-0.05172171150574046,-0.05579127190581579,-0.050580009207397664,-0.0646720016202367,-0.0575665690135965,-0.05667575326198175,-0.05406223610266044,,-0.04820722952437079,-0.051769980960284984,-0.04942594656938948,-0.056668159778359206,-0.05488627892863904,-0.05546208875788868
20070209,-0.027347690292279434,-0.058622789448000964,-0.059400507049833184,-0.054635193856024014,-0.05603365547334216,-0.050682445931584844,-0.05516383031984194,-0.058622763081862615,-0.05660719656317842,-0.058692813998591394,-0.053309981440620643,-0.06095149583527292,-0.058689760397114016,-0.059239605915956686
20070212,-0.029044183523956244,-0.05820136748970394,-0.05642118929471983,-0.056903002870484956,-0.05687862946139614,-0.05496201233087222,-0.0575614445733458,-0.059093344564820974,-0.05614435245614895,-0.05823614550104464,-0.06195181606764752,-0.05824906976676861,-0.05862329654078759,-0.05669987197950439
20070213,-0.01330846840683722,-0.05606611865614879,-0.05788432080696333,-0.061962063324588944,-0.05747360649827785,-0.05795769011623985,-0.056320540287092685,-0.05362920746625419,-0.05257429434219495,-0.05600652661268183,-0.057240076555143606,-0.05566448124101202,-0.05421524055067705,-0.060392404314163935
20070214,-0.013391831378808559,-0.04952945263347565,-0.0574155157953868,-0.05288590340995063,-0.053313701967983684,-0.04966885797270223,-0.05561407408412406,-0.05246902080426218,-0.0517866842413667,-0.05163112290959197,-0.05165172766601936,-0.0519767528386096,-0.06320085773371711,-0.0370680118739944
20070215,-0.049695222388823575,-0.056957757177686294,-0.051673830852881124,-0.05428226339800565,-0.05405342445520207,-0.05350166946461152,-0.052529024124902256,-0.05187232423590524,-0.051778736443918616,-0.05229904326826338,-0.05448627323607114,-0.051962304703636324,-0.05047735104543248,-0.05464164304208528
20070216,-0.07100305446189946,,-0.04782587014209873,-0.05318571509936666,-0.06391772105317989,-0.05208106623243803,-0.053431004502184735,-0.05451642730561629,-0.04914445975945673,,-0.05500593103048508,-0.056084834894448043,-0.05808859949119908,-0.05537856356843008
20070220,-0.06686318932056413,-0.05388872684636034,-0.05270531683643126,-0.05132082516641681,-0.05129888947460354,-0.05471674000269931,-0.05356514200295941,-0.050549303894103406,-0.0544669159063476,-0.05128158552820855,-0.04857342010243462,-0.05882857508900312,,
20070221,0.0016840748010097544,-0.040386316473861046,-0.04397173343867812,-0.034917453130883284,-0.04922856605147899,-0.044213212310705546,-0.031785440377588986,-0.0371758711873236,-0.027618454836470296,-0.03201473676918344,-0.03252735649766667,-0.007446925636605313,-0.03936077164731697,
20070222,-0.04668767266158398,-0.04852526333659524,-0.04594782110069258,-0.0241481009440523,-0.03612670842892194,-0.03491621214680554,-0.037602904763227855,-0.026773784723411707,-0.0326470571693003,-0.03706651407384676,-0.038276069135732387,-0.027440728407402814,-0.030996891157330328,
20070223,-0.03994228073796125,-0.05162288292612818,-0.03116832452125232,-0.04574977714859061,-0.031023746534183067,-0.03886827415187304,-0.019014791179516363,-0.04618806039552697,-0.04299475279903553,-0.04062930016564427,-0.03903802659804661,-0.0170108329335921,-0.037489827307383136,
20070226,-0.020383214946096875,-0.02614455713530124,-0.03333273500674751,-0.03623502813762727,-0.012172009391522604,-0.03304268401107059,-0.024478405129993507,-0.031618686586652636,-0.037581075767417066,-0.03187004727209433,-0.03443131117505182,-0.03940017697188456,-0.03327116217222519,
20070227,-0.006310346476462513,-0.01972274670823723,-0.04231691014310622,-0.030628289721117082,-0.04421066926711349,-0.031323602916800856,-0.03951062200925054,-0.02423256645163673,-0.03175274020310229,-0.03007152566820211,-0.0471841552768221,-0.05304391090660694,-0.04455589714395223,
20070228,-0.05452656361122437,-0.025248058466263063,-0.01574014947781667,-0.03186124792041689,-0.04906508174023648,-0.03333829656621171,-0.037331510425360044,-0.027989144564108406,-0.03804855669961981,-0.03816939155965843,-0.03080049566507966,-0.0362568019756425,-0.03256205938892208,
