,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20070103,1418.03,1423.85,1429.18,1427.56,1427.63,1427.93,1425.62,1427.09,1423.6,1422.36,1416.61,1408.23,1413.11,1416.03
20070104,1416.95,1413.63,1409.37,1415.66,1415.71,1416.56,1415.61,1415.91,1413.56,1414.15,1414.2,1418.58,1419.3,1419.0
20070105,1417.58,1410.11,1412.93,1412.74,1407.79,1407.84,1409.29,1409.65,1410.21,1410.17,1408.56,1409.09,1409.74,1411.15
20070108,1409.22,1407.31,1405.71,1407.82,1408.28,1409.12,1408.3,1408.64,1407.88,1412.06,1413.6,1411.5,1414.27,1413.42
20070109,1412.85,1413.11,1414.75,1413.33,1410.26,1406.72,1405.67,1407.76,1408.57,1409.98,1411.01,1412.21,1412.75,1413.1
20070110,1410.85,1407.43,1408.87,1410.19,1408.01,1409.75,1408.93,1409.72,1410.88,1413.37,1413.28,1414.04,1414.61,1414.65
20070111,1414.84,1421.74,1422.08,1423.9,1425.58,1425.98,1426.34,1426.31,1424.0,1424.28,1422.95,1425.14,1422.8,1423.09
20070112,1423.66,1426.98,1425.3,1424.28,1426.0,1428.1,1428.94,1431.16,1429.7,1430.63,1429.4,1429.19,1430.54,1430.37
20070116,1430.73,1433.6,1431.09,1429.3,1429.75,1431.57,1431.4,1429.41,1429.41,1428.87,1430.47,1431.37,1430.89,1430.98
20070117,1430.44,1431.88,1430.31,1430.21,1431.81,1432.41,1434.88,1434.61,1433.71,1433.52,1431.48,1431.46,1429.57,1430.2
20070118,1430.59,1432.9,1427.99,1427.25,1427.45,1429.4,1428.16,1429.27,1428.71,1427.9,1427.62,1424.56,1425.86,1426.61
20070119,1426.35,1425.92,1427.41,1431.48,1430.7,1429.53,1427.77,1427.97,1429.49,1428.82,1429.62,1430.21,1429.95,1430.44
20070122,1430.98,1428.81,1424.39,1423.1,1422.74,1423.22,1421.6,1420.96,1422.25,1422.8,1423.87,1423.93,1422.18,1423.39
