,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040102,0.003150017,-0.017597606,-0.008691309,-0.018522891,-0.021564265,,-0.01648526,-0.015370034,-0.015132475,,-0.012392934,,-0.006543168,-0.012928687
20040105,0.01043924,-0.007043811,-0.003644993,-0.011608839,0.002201207,0.009651122,-0.004190179,,-0.001058692,-0.000333188,-0.013743777,-0.003871721,-0.020571587,-0.009729099
20040106,-0.021511296,-0.012327215,-0.013487422,0.00104339,-0.023630819,-0.00496754,-0.008641399,-0.000800638,-0.004301947,-0.012994785,,-0.002411399,-0.023527888,-0.007616561
20040107,-0.007002679,-0.007547166,-0.009241515,-0.017723572,-0.013462271,-0.037929548,-0.016662389,-0.010789864,-0.006229394,-0.000660711,0.003016047,,0.002899406,-0.015572489
20040108,0.002909549,,-0.014526473,-0.00842982,-0.012623688,-0.023411224,-0.027979962,-0.024792186,-0.019163811,-0.022834803,-0.02444896,,,-0.024858361
20040109,-0.019865241,-0.013513094,-0.03120865,-0.015457825,-0.021335721,,-0.02081049,,,-0.010966372,-0.015832481,-0.021634451,-0.014087442,
20040112,-0.023847892,-0.008579378,-0.022992457,-0.022704627,-0.027223015,-0.010834639,,-0.019109873,0.944015806,-0.028912645,,-0.019627038,-0.015580975,-0.028599321
20040113,0.002550238,,-0.009999871,-0.013087208,-0.018603527,-0.010694384,-0.024227582,0.015810714,-0.016026808,,-0.013580003,-0.014708538,-0.016918131,-0.019152388
20040114,-0.00021857,-0.027142264,-0.019109396,-0.017465488,,,,-0.010218729,,,-0.016471534,-0.024800377,,-0.027613201
20040115,0.004854428,0.898852576,-0.015850128,-0.011640441,,-0.034497896,-0.014829191,-0.020122818,-0.022236138,-0.018534699,-0.029262063,-0.005300365,-0.023863181,-0.016180375
20040116,-0.004173373,-0.011440687,-0.01698412,-0.012335945,0.244747725,-0.021359774,-0.016658895,0.461047231,-0.018664814,,-0.013128388,,,-0.016509713
20040120,-0.004155091,-0.009665759,-0.018272133,-0.039686313,-0.015494245,-0.016211179,-0.017625274,,-0.023192965,-0.02291832,,-0.03937154,-0.015766186,-0.01683883
20040121,-0.01314682,-0.012400176,-0.018377339,-0.01713202,-0.014186111,-0.018735744,-0.016446279,-0.027313045,-0.022578092,-0.024355489,-0.01757244,-0.01396597,-0.014963467,-0.01552258
20040122,-0.007530385,-0.021096197,-0.012420381,-0.040062618,-0.006749636,-0.018219223,-0.015910307,-0.023153389,-0.010686131,,-0.023532572,-0.011663953,-0.019407665,-0.01534707
