,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040102,-0.016063555152290118,-0.02125154603125723,-0.012109802185136909,,-0.021564265405822847,,-0.020767453950606196,-0.015370034293270635,-0.020811114733147035,,-0.005687169074718307,,-0.015579372389785795,
20040105,0.006232178135229582,-0.022978488660643233,-0.016178023058608437,,-0.00982208143392202,,-0.014473999564230131,,,,-0.020547815992374818,,-0.021539096028840278,-0.02393272772077995
20040106,-0.01623295568096328,-0.031045531833043483,,,-0.023630819010698724,,-0.011176433065279712,,-0.004301946762468034,-0.02575714252630328,,-0.008782569622562159,-0.026124312315325637,-0.015624684481034521
20040107,,-0.0052390541847878724,-0.011511041792056476,-0.02024705479816242,-0.014231136465783039,-0.04167874621914025,-0.03744222336948841,-0.010789863671707561,,-0.017902736105657457,-0.007823837301570213,,,-0.016905537882507298
20040108,0.002909548860024933,,-0.014526472760720527,-0.008429819713076062,-0.012623687624994218,-0.023411224380717438,-0.027979961676306786,-0.024792186468104493,-0.0191638114268242,-0.022834802705198762,-0.024448959684006316,,,-0.024858361398497106
20040109,-0.0198652406373709,-0.013513094476527168,-0.031208650322910647,-0.015457824601207218,-0.02133572118065399,,-0.020810489718291192,,,-0.010966371729522353,-0.01583248140728251,-0.02163445146638595,-0.014087442413413946,
20040112,-0.023847891942269134,-0.008579377578735205,-0.022992456875225192,-0.02270462676021013,-0.027223015163377377,-0.010834638926995765,,-0.019109872776950226,0.9440158055696785,-0.028912645294638828,,-0.01962703825296942,-0.015580975000282826,-0.028599320753295947
20040113,0.002550238199097943,,-0.009999871080322714,-0.01308720831391082,-0.01860352682113145,-0.0106943840765228,-0.024227582130042093,0.015810714482871014,-0.016026808479956852,,-0.013580003299580007,-0.014708537573211373,-0.016918130525021478,-0.019152388357948504
20040114,-0.0002185704195154459,-0.027142264442246655,-0.019109396023185975,-0.017465488390629676,,,,-0.010218729293632045,,,-0.016471533688603927,-0.02480037712092223,,-0.02761320078715378
20040115,0.004854427686500969,0.8988525755712609,-0.015850128375456917,-0.011640440869075827,,-0.03449789646316587,-0.014829190714943267,-0.020122817718056043,-0.022236137609584705,-0.01853469889259392,-0.02926206255177363,-0.005300365094101716,-0.023863180695791547,-0.01618037456065672
20040116,-0.0041733733106787615,-0.011440686642920583,-0.016984119643105446,-0.012335945074182786,0.24474772503565845,-0.02135977387435859,-0.016658894801015168,0.4610472310051061,-0.018664814311145424,,-0.013128388294806212,,,-0.016509713209856572
20040120,-0.004155091195779806,-0.009665758979714147,-0.018272132998324357,-0.03968631276095583,-0.015494244787592731,-0.016211179223670047,-0.017625273556202768,,-0.02319296519712164,-0.022918320154212024,,-0.03937153972944385,-0.01576618553573826,-0.016838829981170367
