,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040102,-0.01658215,-0.021482544,-0.012109802,,-0.021564265,,-0.020729092,-0.015370034,-0.020811115,,-0.005687169,,-0.015579372,
20040105,0.006232178,-0.019661491,-0.016178023,,-0.009822081,,-0.016985214,,,,-0.020547816,,-0.021617566,-0.024939542
20040106,-0.016232956,-0.031045532,,,-0.023630824,,-0.011176433,,-0.004301947,-0.02397919,,-0.00878257,-0.026124312,-0.016957112
20040107,,-0.005239054,-0.011511042,-0.021008855,-0.018345342,-0.041678746,-0.037442223,-0.010789864,,-0.017902736,-0.007823837,,,-0.017125353
20040108,-0.001263909,,-0.014526473,-0.008429695,-0.03062888,-0.023411224,-0.027979962,-0.024792186,-0.019296436,-0.022834803,-0.02444896,,,-0.024859168
20040109,-0.019824966,-0.016063776,-0.03120865,-0.015457825,-0.02118862,,-0.02081049,,,-0.01220963,-0.011576152,-0.021636837,-0.015357604,
20040112,-0.023847892,-0.005377316,-0.022992457,-0.023436471,-0.027087492,-0.018034401,,-0.019109873,0.944015806,-0.028912645,,-0.021718616,-0.015580975,-0.036294882
20040113,0.002550238,,-0.009999871,-0.01256634,-0.018603527,-0.010140468,-0.024227598,0.021093,-0.018217697,,-0.013580003,-0.014708667,-0.018881464,-0.02134611
20040114,-0.000218832,-0.027142264,-0.019239068,-0.018477552,,,,-0.008668937,,,-0.016610337,-0.024800377,,-0.034498602
20040115,0.004854352,1.329980849,-0.016785191,-0.01406442,,-0.041624216,-0.014829182,-0.02855296,-0.022236138,-0.037960548,-0.031253892,-0.005754918,-0.024083579,-0.01695254
20040116,-0.004174798,-0.010088252,-0.02096538,-0.012519515,0.402427208,-0.021359701,-0.017954408,0.499875569,-0.018664892,,-0.013128936,,,-0.016510842
20040120,-0.010789327,-0.009795356,-0.017795721,-0.039686313,-0.015919183,-0.016211179,-0.022616996,,-0.027761575,-0.02291832,,-0.03937154,-0.015481792,-0.01683883
20040121,-0.01314682,-0.01240015,-0.018377339,-0.017475869,-0.014186111,-0.018735744,-0.016446323,-0.029525138,-0.022578092,-0.026290773,-0.017640951,-0.014159522,-0.018211374,-0.01638304
20040122,-0.008074215,-0.021978688,-0.008614342,-0.036933635,-0.006749636,-0.018765793,-0.022151745,-0.024435573,-0.010686131,,-0.024503817,-0.011663801,-0.019429232,-0.015347066
20040123,,-0.02402892,,,-0.014449987,-0.023207174,-0.010753916,-0.023748204,,-0.034545464,,-0.028142432,,
20040126,-0.01145257,,-0.013787282,-0.029455011,,-0.020752794,,-0.019685441,,-0.019486304,-0.037305734,-0.017764473,-0.023279848,-0.045200817
20040127,-0.018898101,,,-0.016135413,-0.002617215,-0.016330631,-0.01693574,-0.012963797,-0.005176395,,-0.015646929,-0.022973529,,
20040128,,-0.020799597,-0.001282504,-0.024930889,,,,,-0.02109393,,-0.022285943,-0.012483674,-0.032758706,-0.015603646
