,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20070103,0.0370526188830682,-0.026625490344026136,-0.019381702955889597,-0.01196859320320141,-0.006615621389639569,-0.014424043265868724,-0.0068755658295026195,,-0.013493480159117936,-0.02662941308762734,-0.009920350853116454,-0.007839631684302639,-0.016418682794418285,-0.012782318714730914
20070104,-0.013708874572034603,-0.013430565315362948,-0.01122960936611258,0.00914564445815847,0.016006342207990232,-0.013415771251962638,-0.014779262533050074,-0.024109711695663408,-0.04587512310221796,-0.032373260876109894,-0.06649961941058984,-0.01920576216582385,-0.018726719925560235,-0.014051498861222896
20070105,-0.027415816041008928,-0.010598021801132299,-0.035514179058371245,-0.007570845778840591,-0.004475430933547533,-0.01307743570839557,-0.014381325238826584,-0.014251888223474084,-0.027086083344095423,-0.02800674091098762,-0.016123319678835388,-0.010179031286550726,-0.018422853224142593,-0.015585570797886403
20070108,-0.01269361213083239,-0.0015556697917497606,-0.023652220211569895,-0.005031271653862137,-0.030956228657942994,-0.031025649525329824,-0.0024513628534114373,-0.020333337386825787,,-0.018099283498785517,-0.023522068850215405,-0.008342627536326554,-0.005513948644149552,-0.006662820511186477
20070109,-0.002959988219661349,-0.00968467953872532,-0.02585876373969541,-0.04774813715301504,-0.010714881210797769,-0.001452441919964589,-0.006629627801554087,-0.022822828454499802,,-0.0016570257844319286,-0.008576245789988932,-0.031190951749889423,0.001339221260022753,-0.0045143172855342684
20070110,-0.0391288003446881,-0.04752582510061646,-0.01923202249118352,-0.01967637293982242,-0.018349563293651037,-0.026340532994582656,-0.005719384380668501,-0.028312068877352978,-0.01157968083772131,-0.018127926098009013,-0.0134945512033839,-0.020080768546118885,-0.014389186758285375,-0.017888881149765848
20070111,-0.01632936322178484,-0.02479742805015435,-0.02258480808076796,-0.02226564797536782,-0.021069207519119545,-0.018395378889154424,-0.01853160857924771,,,,-0.02365289568325782,-0.02022723121586377,,-0.024179710444513745
20070112,-0.028209364029749464,-0.026470350759880946,-0.02383286609639601,,-0.027017678579132523,-0.027191337066173632,-0.028155571278364058,-0.023909492188928308,,-0.030494533947015824,-0.022339521837827857,-0.020886479903384894,-0.02806837549239321,
20070116,-0.009034144523507051,-0.02235757846676724,-0.017465392567097223,-0.018580790606227963,,-0.02505044828480778,,-0.01997516765525884,-0.01958706128158502,-0.023270176865979528,-0.020338642314479283,-0.019930953633846255,-0.019913781806182695,-0.02321327732053441
20070117,-0.022077469001819776,-0.027159720044035593,-0.023207313358559065,,,-0.02233368270929829,-0.03177010172137547,-0.019809737405106068,-0.022333020608272865,,,-0.02180065168699441,-0.018955290217375423,-0.011456230373563636
20070118,-0.01629053622527195,-0.0190794737930506,-0.016165291229265598,-0.02444804146909052,-0.015370356639195096,-0.020907644265426066,-0.021049091061957292,-0.01926430744443841,-0.021734882099410338,-0.01847658056790008,-0.015641805669018072,-0.015726187052083753,-0.028240862272543393,-0.023202845933916846
20070119,-0.022666378425341596,-0.023595299778743695,-0.019105259022987122,-0.031869544162587665,-0.027869483998726963,-0.015100188375684206,-0.017011769226200752,-0.019701380179547097,-0.028545630759470836,-0.022083868775000688,-0.021256304660245917,-0.028223358764127994,-0.02517250429841999,-0.020616968354466407
20070122,-0.013284522812318813,-0.017991307381056504,-0.0278784145273265,-0.013660122461127685,-0.028836739320595446,-0.012302359205379657,-0.01546348932845864,-0.018191134507771118,-0.017476996076771115,,,-0.02844698809446647,-0.02067409075274716,-0.01208552511874364
20070123,-0.00962930776250008,-0.019924843186279465,-0.016556509730580822,-0.02513211531131565,-0.015985993861325227,-0.02621606433466557,-0.018885539985892034,-0.021201672618219904,-0.02025552921492263,-0.017203650317172373,-0.01612380145966149,-0.022949787230282945,-0.023173139237123608,-0.01986137401560275
20070124,-0.014999211947060826,-0.018859491584679623,-0.018815830753734948,-0.028686293220200693,-0.018129831973488848,,-0.02297268056648532,-0.02549228999288397,,-0.0262092329200687,-0.022344058702924587,-0.030376586942946555,-0.021502537484862954,-0.02177125025322524
20070125,-0.021446900000179802,-0.022351943709450105,-0.02145986856328416,-0.023541726706176467,-0.01888591021170516,-0.02176810501304362,,-0.018285068288560625,-0.020414573339715567,-0.019956595405359066,-0.01909184745214368,-0.01885576033289811,-0.022128208181979588,-0.02195889197330768
20070126,-0.01737196301376767,-0.018144104221990608,-0.02257440709301977,-0.021859730460519873,-0.019328217060169194,-0.011848334268118703,-0.02678204843448003,-0.03075969272428515,-0.0289594533585283,,,-0.02068906495661861,-0.02245662414182757,-0.023529458620699627
20070129,-0.02261487013439647,-0.021550801263800476,-0.006956032629720666,-0.01798049128926251,-0.031525586263976585,,,-0.020929478234607092,,-0.02657406126941475,-0.014658496652861857,-0.01961846555795195,-0.005832935692514483,-0.01857471320409769
20070130,-0.0034777719968470924,-0.004291503356118977,-0.02325650741479273,-0.03248516077520603,-0.02593739569672066,-0.020268869629626277,-0.0231657468742536,,-0.0172802356501168,-0.022524229587815168,,-0.019267384159263302,-0.02121676352488823,-0.026393434801728233
20070131,-0.022030942394363328,-0.015879909026209428,-0.022015326725609057,-0.026508159883402767,-0.026590095895658243,-0.026687293836659423,-0.026833138259255845,-0.03136972639106477,,-0.02405060127447907,-0.02320574028645787,-0.02417594540373103,-0.02535262406466967,-0.027740256133965406
20070201,-0.00414085582986093,-0.028443440575653636,-0.008623410836084717,-0.02045692262809537,-0.01964719980738994,-0.010159761027896166,,-0.020900317948215376,-0.019462946683150004,-0.02038783884908665,-0.019945731790661957,-0.026580038491190793,-0.024047509179141772,-0.01297632319008877
20070202,-0.01959593905985891,-0.01574800277340394,-0.027710687777263786,-0.02228329451002409,-0.015219683724478756,-0.03132517914849518,-0.02145505915666305,-0.026590954513531995,-0.025466928588014574,-0.025136105106496474,-0.0265003732530472,,-0.022489399147161318,-0.030823111748263982
20070205,0.01315779604263373,-0.007970488040647667,-0.03593238483860559,-0.012791172242819258,-0.018739698260662595,-0.023087525843583964,,-0.01676037996492521,,-0.010997092787242965,-0.0279545349394225,-0.023209648792551597,,-0.02977434817257173
20070206,0.002658349541862789,,-0.013479024176465692,-0.002962312234360753,-0.017987388211607745,-0.014392765192999729,-0.03273841107660916,-0.0625990851256633,-0.02155893579887813,-0.012325930386835948,,-0.021861635601179034,-0.028482173334924615,-0.00844051312156689
20070207,0.0039422792036092145,-0.021229618566445112,-0.011469357910859165,-0.01701936611794241,-0.023252539724731416,-0.014499258209505277,-0.018801727272560423,-0.01789574266334087,-0.026580209101049343,-0.012462739409854165,-0.02168422181152685,-0.012009420041857705,,-0.011797888810568688
20070208,-0.020563372334794862,-0.032128980844244884,-0.04123806123234475,-0.026611026379599306,-0.022874663923128605,-0.019864481126854447,-0.04990679773111793,-0.02418503229867268,,,,,-0.021671809527572444,-0.025573748288361654
20070209,-0.025977758037614013,-0.018443738878028457,-0.008868625801276384,-0.008367234308013269,-0.014377662995135848,-0.024550898661368795,-0.008213667726993182,,,-0.02189666956254637,-0.018375141537539302,-0.025157720874871795,-0.03359172224938594,-0.021905029907149633
