,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040102,0.003027485256969071,-0.018970299931517318,-0.006435231182551089,-0.00979094237846843,-0.021564265405822847,,-0.012034794717918297,-0.015370034293270635,-0.008613539777365828,,-0.008355569560632598,,-0.009228305604914847,-0.012928687123230226
20040105,0.010713344042911691,-0.01102927579425203,-0.009119172016608003,-0.010736405499068995,-0.0036215461497115208,0.009651122322960781,-0.0093446551002003,,-0.0010586921262975557,-0.0013102267415353844,-0.015932251562103365,-0.0038717208609780063,-0.020686864674300837,-0.015759903290189104
20040106,-0.01992047299346853,-0.01718282914642884,-0.013487421550551854,0.0008510625899050598,-0.024058437970171313,-0.00576435114261389,-0.009490958618191011,-0.0008006375559264367,-0.004301946762468034,-0.01793879848044568,,-0.003957060167737785,-0.016733782553773995,-0.006802243862752657
20040107,-0.013850961738571916,-0.005133632300292836,-0.009524439592057211,-0.018360076618678445,-0.012263287885884235,-0.020856445782232662,-0.021509773378897354,-0.010789863671707561,-0.006229393656345672,0.0022825562898809797,0.00039269981134015006,,0.002899406144568656,-0.019488340139813376
20040108,-0.005586344759828031,,-0.014526472760720527,-0.011284749307555587,-0.02976628762657011,-0.023411224380717438,-0.027979961676306786,-0.024792186468104493,-0.01980866056214271,-0.022834802705198762,-0.024448959684006316,,,-0.028276915255096763
20040109,-0.020049697900687388,-0.017949262272521718,-0.031208650322910647,-0.015457824601207218,-0.021344302588712928,,-0.020810489718291192,,,-0.012874798346079947,-0.021788388308369967,-0.022214462687443787,-0.012048799202731653,
20040112,-0.023847891942269134,-0.007631177368451336,-0.022992456875225192,-0.014984955046071837,-0.02342837794117894,-0.023794210102983653,,-0.019109872776950226,0.9440158055696785,-0.028912645294638828,,-0.021116151605474684,-0.015580975000282826,-0.026496188475707894
20040113,0.002550238199097943,,-0.009999871080322714,-0.013618529507750943,-0.01860352682113145,-0.007687765277697659,-0.024135314780508912,0.003990963790407639,-0.017361298909272377,,-0.013580003299580007,-0.017665127142275677,-0.01599453322261058,-0.01833854243148364
20040114,-0.0020034449884817293,-0.027142264442246655,-0.01911203457401165,-0.02072578209060163,,,,-0.012786350341847925,,,-0.01654907739624227,-0.02480037712092223,,-0.027045470403880043
20040115,-0.0005091678714949783,0.39209408213117947,-0.018214137890556772,-0.011756185919403327,,-0.02275433856057231,-0.015405678098034808,-0.023101384725795853,-0.022236137609584705,-0.03491573584558369,-0.022807893750217776,-0.007701802590971579,-0.017305582803918022,-0.013752162265085677
20040116,-0.0076319291404600385,-0.00930493653117744,-0.019823934483516763,-0.013909446590062841,0.2918660563361592,-0.022247443109635633,-0.016284785782274894,0.2978670981506587,-0.01666807059975627,,-0.014513793356164432,,,-0.017840992709342394
20040120,-0.013600205305842229,-0.01337754024391553,-0.015174806941354493,-0.03968631276095583,-0.014289852698284368,-0.016211179223670047,-0.01814263171765421,,-0.027411171839685798,-0.022918320154212024,,-0.03937153972944385,-0.01540873026386959,-0.016838829981170367
20040121,-0.01314681953324616,-0.01379486867208396,-0.01837733892776866,-0.017194448000048206,-0.01418611093544124,-0.01873574440174955,-0.015270403013991067,-0.02328599807095494,-0.022578092171126163,-0.01766191785097893,-0.017919702597340735,-0.015390081609255465,-0.020383863405396246,-0.01877430918847795
